"","phylum","class","order","family","genus","species"
"Achnanthes","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes",NA
"Achnanthes rupestoides","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes rupestoides"
"Achnanthales","Ochrophyta","Bacillariophyceae","Achnanthales",NA,NA,NA
"Achnanthidium caledonicum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Achnanthidium","Achnanthidium caledonicum"
"Achnanthidium minutissimum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Achnanthidium","Achnanthidium minutissimum"
"Achnanthidium pyrenaicum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Achnanthidium","Achnanthidium pyrenaicum"
"Achnanthidium subatomus","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Achnanthidium","Achnanthidium subatomus"
"Amphora","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes",NA
"Cocconeis","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis",NA
"Cocconeis diminuta","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis diminuta"
"Cocconeis disculus","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis disculus"
"Cocconeis euglypta","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis euglypta"
"Cocconeis lineata","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis lineata"
"Cocconeis neothumensis","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis neothumensis"
"Cocconeis pediculus","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis pediculus"
"Cocconeis placentula","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis placentula"
"Cocconeis pseudolineata","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis pseudolineata"
"Cocconeis pseudothumensis","Ochrophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis pseudothumensis"
"Eucocconeis flexella","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Eucocconeis","Eucocconeis flexella"
"Eucocconeis laevis","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Eucocconeis","Eucocconeis laevis"
"Karayevia","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Karayevia",NA
"Karayevia clevei","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Karayevia","Karayevia clevei"
"Karayevia laterostrata","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Karayevia","Karayevia laterostrata"
"Kolbesia","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Kolbesia",NA
"Kolbesia kolbei","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Kolbesia","Kolbesia kolbei"
"Kolbesia ploenensis","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Kolbesia","Kolbesia ploenensis"
"Lemnicola hungarica","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Lemnicola","Lemnicola hungarica"
"Planothidium","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium",NA
"Planothidium delicatulum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium delicatulum"
"Planothidium dubium","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium dubium"
"Planothidium ellipticum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium ellipticum"
"Planothidium frequentissimum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium frequentissimum"
"Planothidium granum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium granum"
"Planothidium lanceolatum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium lanceolatum"
"Planothidium lanceolatum-type","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium lanceolatum-type"
"Planothidium rostratum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium rostratum"
"Platessa conspicua","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Platessa","Platessa conspicua"
"Platessa oblongella","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Platessa","Platessa oblongella"
"Psammothidium","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium",NA
"Psammothidium abundans","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium abundans"
"Psammothidium bioretii","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium bioretii"
"Psammothidium daoense","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium daoense"
"Psammothidium helveticum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium helveticum"
"Psammothidium lauenburgianaum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium lauenburgianaum"
"Psammothidium lauenburgianum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium lauenburgianum"
"Psammothidium marginulatum","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium marginulatum"
"Psammothidium subatomoides","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Psammothidium","Psammothidium subatomoides"
"Rossithidium","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Rossithidium",NA
"Rossithidium linearis","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Rossithidium","Rossithidium linearis"
"Rossithidium petersenii","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Rossithidium","Rossithidium petersenii"
